viewport,page,ae,mse
desktop,index,"988885","767.502 (0.0117113)"
desktop,portfolio,"1.00552e+06","801.334 (0.0122276)"
desktop,cv,"714471","1.08954 (1.66253e-05)"
mobile,index,"287514","1524.15 (0.023257)"
mobile,portfolio,"286295","1679.12 (0.0256217)"
mobile,cv,"186423","3.14724 (4.80237e-05)"
